match,league,home_odd,home_book,draw_odd,draw_book,away_odd,away_book,stake_home,stake_draw,stake_away,guaranteed_profit,profit_pct
Belgium vs Senegal,World Cup 2026,2.2,premierbet,3.5,betika,3.775,22bet,45221.19,28424.75,26354.07,-513.39,-0.52
USA vs Bosnia and Herzegovina,World Cup 2026,1.394,22bet,5.4,betika,8.95,22bet,70726.24,18257.85,11015.91,-1407.62,-1.43
Portugal - Croatia (n),FIFA World Cup,1.83,fortebet,3.66,premierbet,5.1,fortebet,53797.47,26898.73,19303.8,-1550.63,-1.58
Argentina - Cape Verde (n),FIFA World Cup,1.19,premierbet,7.92,betpawa,20.31,betpawa,82723.64,12429.44,4846.93,-1558.87,-1.58
Switzerland - Algeria (n),FIFA World Cup,2.11,premierbet,3.3,fortebet,4.1,fortebet,46424.65,29683.64,23891.71,-2043.99,-2.09
Spain - Austria (n),FIFA World Cup,1.36,premierbet,5.38,betpawa,10.0,fortebet,72005.23,18202.06,9792.71,-2072.89,-2.12
Colombia - Ghana (n),FIFA World Cup,1.56,premierbet,4.08,betpawa,7.4,fortebet,62768.19,23999.6,13232.21,-2081.63,-2.13
Paraguay vs France,Unknown,16.5,premierbet,7.3,fortebet,1.21,premierbet,5918.34,13377.06,80704.6,-2347.44,-2.4
Australia - Egypt (n),FIFA World Cup,3.4,fortebet,2.93,fortebet,2.55,premierbet,28622.6,33213.94,38163.46,-2683.17,-2.76
Lahti vs Gnistan,Unknown,2.4,fortebet,3.53,premierbet,3.05,fortebet,40538.81,27561.8,31899.39,-2706.85,-2.78
Canada - Morocco (n),FIFA World Cup,4.85,fortebet,3.55,fortebet,1.85,premierbet,20048.84,27390.67,52560.48,-2763.11,-2.84
Brazil vs Norway,Unknown,1.96,fortebet,3.55,fortebet,4.2,fortebet,49534.88,27348.84,23116.28,-2911.63,-3.0
Ellidi - Alftanes,4. deild,5.69,betpawa,5.4,fortebet,1.49,fortebet,17028.54,17943.03,65028.43,-3107.63,-3.21
Raufoss vs Strommen,Unknown,2.59,fortebet,4.11,premierbet,2.47,fortebet,37330.8,23524.76,39144.44,-3313.23,-3.43
Degerfors vs Malmo FF,Unknown,3.29,premierbet,3.45,fortebet,2.27,fortebet,29386.16,28023.32,42590.51,-3319.53,-3.43
Anyang vs Pohang,Unknown,2.94,fortebet,3.18,premierbet,2.6,fortebet,32730.04,30259.85,37010.12,-3773.69,-3.92
Jeonbuk vs Gangwon,Unknown,2.31,fortebet,3.16,premierbet,3.45,fortebet,41656.64,30451.53,27891.83,-3773.17,-3.92
Kalmar vs Orgryte,Unknown,1.53,fortebet,4.6,fortebet,5.9,premierbet,62816.8,20893.42,16289.78,-3890.29,-4.05
Wales U19 vs Germany U19,UEFA European U19 Championship,25.0,22bet,13.0,22bet,1.08,fortebet,3835.65,7376.24,88788.11,-4108.84,-4.28
Brommapojkarna vs GAIS,Unknown,3.39,premierbet,3.45,fortebet,2.18,premierbet,28267.32,27775.71,43956.97,-4173.8,-4.36
Jaro vs Ilves,Unknown,3.4,fortebet,3.75,premierbet,2.07,fortebet,28175.53,25545.82,46278.65,-4203.19,-4.39
VPS vs Mariehamn,Unknown,1.32,premierbet,5.5,fortebet,9.5,fortebet,72519.08,17404.58,10076.34,-4274.81,-4.47
SJK vs TPS,Unknown,1.7,premierbet,4.0,fortebet,4.8,fortebet,56206.09,23887.59,19906.32,-4449.65,-4.66
Elfsborg vs Hammarby,Unknown,3.72,premierbet,3.7,fortebet,1.97,premierbet,25682.31,25821.14,48496.55,-4461.8,-4.67
Bryne vs Sandnes,Unknown,1.94,premierbet,3.88,premierbet,3.65,fortebet,49224.54,24612.27,26163.18,-4504.38,-4.72
Lyn vs Asane,Unknown,1.76,fortebet,4.24,premierbet,4.1,fortebet,54219.27,22506.11,23274.61,-4574.08,-4.79
Sirius vs Mjallby,Unknown,1.75,premierbet,3.85,fortebet,4.6,fortebet,54496.5,24771.14,20732.36,-4631.13,-4.86
Ciudad Bolivar vs Godoy Cruz,Unknown,2.96,fortebet,2.87,premierbet,2.76,fortebet,32218.34,33228.67,34553.0,-4633.73,-4.86
Quilmes vs Atletico Atlanta,Unknown,2.53,fortebet,2.81,fortebet,3.34,premierbet,37624.52,33875.46,28500.01,-4809.95,-5.05
Central Norte vs San Miguel,Unknown,2.36,fortebet,2.8,premierbet,3.7,fortebet,40311.28,33976.65,25712.06,-4865.37,-5.11
Kongsvinger vs Sogndal,Unknown,1.64,premierbet,4.5,premierbet,4.55,fortebet,57974.91,21128.63,20896.45,-4921.14,-5.18
Egersund vs Moss,Unknown,2.11,fortebet,3.9,premierbet,3.1,fortebet,45011.17,24352.2,30636.63,-5026.43,-5.29
Seoul vs Incheon,Unknown,1.89,fortebet,3.4,fortebet,4.35,fortebet,50242.04,27928.66,21829.3,-5042.55,-5.31
Jeonnam vs Busan,Unknown,3.45,fortebet,3.45,fortebet,2.11,premierbet,27509.78,27509.78,44980.44,-5091.26,-5.36
Ranheim vs Stabaek,Unknown,2.72,fortebet,4.04,premierbet,2.28,fortebet,34888.79,23489.49,41621.72,-5102.48,-5.38
Cuiaba vs America MG,Unknown,1.82,premierbet,3.35,fortebet,4.85,fortebet,52122.93,28317.53,19559.53,-5136.26,-5.41
